default_name,version,is_default,rt_id_array,displayed_version_name
Eli Morrow,"{`"Agents of S.H.I.E.L.D.`"}",f,{66},Agents of SHIELD/MCU
Hive,"{`"Agents of S.H.I.E.L.D.`"}",f,{67},Agents of SHIELD/MCU
Alveus,"{`"Agents of S.H.I.E.L.D.`"}",t,{67},Agents of SHIELD/MCU
Quake,"{`"Agents of S.H.I.E.L.D.`"}",f,{69},Agents of SHIELD
Daisy Johnson,"{`"Agents of S.H.I.E.L.D.`"}",f,{69},Agents of SHIELD
Deathstroke,{CW},f,{15},CW Arrowverse
The Ray,{CW},f,{32},CW Arrowverse
Green Arrow,{CW},f,{16},CW Arrowverse
Captain Cold,{CW},f,{18},CW Arrowverse
Hobbes,{Calvin},t,"{1479,1480}",Calvin and Hobbes
Girder,{CW},f,{20},CW Arrowverse
Gorilla Grodd,{CW},f,{23},CW Arrowverse
King Shark,{CW},f,{24},CW Arrowverse
Reverse Flash,{CW},f,{25},CW Arrowverse
Solovar,{CW},f,{26},CW Arrowverse
Weather Wizard,{CW},f,{27},CW Arrowverse
Zoom,{CW},f,{28},CW Arrowverse
Kuasa,{CW},f,{29},CW Arrowverse
Vixen,{CW},f,{30},CW Arrowverse
John Constantine,{CW},f,{31},CW Arrowverse
Superman,{CW},f,{34},CW Arrowverse
Saejima,{Garo},f,{88},Garo
Undertaker,{WWE},f,{76},WWE
Undertaker,"{`"World Wrestling Entertainment`"}",f,{76},WWE
The Mountain,{Bjornsson},f,{},""
The Mountain,{Bjornson},f,{},""
Strowman,{WWE},t,{74},WWE
Strowman,"{`"World Wrestling Entertainment`"}",t,{74},WWE
Korath The Pursuer,{Cinematic},f,{249},MCU
Thunder,{CW},f,{80},Black Lightning TV Series
Anissa Pierce,{CW},f,{80},Black Lightning TV Series
Cybermen,"{`"Supremacy of the Cybermen`"}",f,{45},"Supremacy of the Cybermen, Doctor Who"
Mick Foley,{WWF},t,{75},WWF/WWE
The Undertaker,{WWF},t,{76},WWE
Bibleman,{Bibleman},t,{78},Bibleman
Deathstroke,{Arrow},f,{15},CW Arrowverse
Green Arrow,{Arrow},f,{16},CW Arrowverse
Girder,{Arrow},f,{20},CW Arrowverse
Black Bolt,"{`"Marvel Cinematic Universe`"}",f,{65},Inhumans/MCU
Eli Morrow,"{`"Marvel Cinematic Universe`"}",f,{66},Agents of SHIELD/MCU
Hive,"{`"Marvel Cinematic Universe`"}",f,{67},Agents of SHIELD/MCU
Alveus,"{`"Marvel Cinematic Universe`"}",t,{67},Agents of SHIELD/MCU
Agent Peggy Carter,"{`"Marvel Cinematic Universe`"}",f,{68},Marvel Cinematic Universe
Quake,"{`"Marvel Cinematic Universe`"}",f,{69},Agents of SHIELD
Daisy Johnson,"{`"Marvel Cinematic Universe`"}",f,{69},Agents of SHIELD
Madame Masque,"{`"Marvel Cinematic Universe`"}",f,{70},Agent Carter/MCU
Eli Morrow,"{`"Agents of SHIELD`"}",f,{66},Agents of SHIELD/MCU
Hive,"{`"Agents of SHIELD`"}",f,{67},Agents of SHIELD/MCU
Alveus,"{`"Agents of SHIELD`"}",t,{67},Agents of SHIELD/MCU
Quake,"{`"Agents of SHIELD`"}",f,{69},Agents of SHIELD
Daisy Johnson,"{`"Agents of SHIELD`"}",f,{69},Agents of SHIELD
Korath The Pursuer,{MCU},f,{249},MCU
The Ray,{DCCW},f,{32},CW Arrowverse
Weather Wizard,{DCCW},f,{27},CW Arrowverse
Captain Cold,{DCCW},f,{18},CW Arrowverse
Zoom,{DCCW},f,{28},CW Arrowverse
Green Arrow,{DCCW},f,{16},CW Arrowverse
Solovar,{DCCW},f,{26},CW Arrowverse
Vixen,{DCCW},f,{30},CW Arrowverse
Kuasa,{DCCW},f,{29},CW Arrowverse
Reverse Flash,{DCCW},f,{25},CW Arrowverse
Gorilla Grodd,{DCCW},f,{23},CW Arrowverse
King Shark,{DCCW},f,{24},CW Arrowverse
Deathstroke,{DCCW},f,{15},CW Arrowverse
Multiplex,{Nu?-?52},f,{},New 52
Superman,{DCCW},f,{34},CW Arrowverse
Girder,{DCCW},f,{20},CW Arrowverse
John Constantine,{DCCW},f,{31},CW Arrowverse
Thunder,{DCCW},f,{80},Black Lightning TV Series
Anissa Pierce,{DCCW},f,{80},Black Lightning TV Series
The Broken Hardys,"{`"Broken Universe`"}",t,{81},Broken Universe
Matt,"{`"Broken Universe`"}",f,{81},Broken Universe
Nero,"{`"Broken Universe`"}",f,{81},Broken Universe
Captain Cold,"{`"DC TV`"}",f,{18},CW Arrowverse
Deathstroke,"{`"DC TV`"}",f,{15},CW Arrowverse
Girder,"{`"DC TV`"}",f,{20},CW Arrowverse
Gorilla Grodd,"{`"DC TV`"}",f,{23},CW Arrowverse
King Shark,"{`"DC TV`"}",f,{24},CW Arrowverse
Kuasa,"{`"DC TV`"}",f,{29},CW Arrowverse
Solovar,"{`"DC TV`"}",f,{26},CW Arrowverse
The Ray,"{`"DC TV`"}",f,{32},CW Arrowverse
Vixen,"{`"DC TV`"}",f,{30},CW Arrowverse
Weather Wizard,"{`"DC TV`"}",f,{27},CW Arrowverse
Superman,"{`"DC TV`"}",f,{34},CW Arrowverse
Cybermen,{Supreme},f,{45},"Supremacy of the Cybermen, Doctor Who"
The Broken Hardys,{Wrestling},t,{81},Broken Universe
Black Lady,"{`"Sailor Moon`"}",f,{4404},Sailor Moon
The Tenth Doctor,{Whoverse},t,{40},Doctor Who
"Grant Gordon, the Ghost",{Whoverse},f,{41},Doctor Who
Heather,{Whoverse},f,{42},Doctor Who
Space Oil,{Whoverse},f,{42},Doctor Who
Captain Cold,{DCTV},f,{18},CW Arrowverse
Deathstroke,{DCTV},f,{15},CW Arrowverse
Girder,{DCTV},f,{20},CW Arrowverse
Gorilla Grodd,{DCTV},f,{23},CW Arrowverse
Green Arrow,{DCTV},f,{16},CW Arrowverse
John Constantine,{DCTV},f,{31},CW Arrowverse
King Shark,{DCTV},f,{24},CW Arrowverse
Kuasa,{DCTV},f,{29},CW Arrowverse
Reverse Flash,{DCTV},f,{25},CW Arrowverse
Solovar,{DCTV},f,{26},CW Arrowverse
Spaceman Spiff,{Calvin|Hobbes},t,{1482},Calvin and Hobbes
The Ray,{DCTV},f,{32},CW Arrowverse
Vixen,{DCTV},f,{30},CW Arrowverse
Weather Wizard,{DCTV},f,{27},CW Arrowverse
Zoom,{DCTV},f,{28},CW Arrowverse
Superman,{DCTV},f,{34},CW Arrowverse
Thunder,{DCTV},f,{80},Black Lightning TV Series
Anissa Pierce,{DCTV},f,{80},Black Lightning TV Series
Kamen Rider Ichigo,"{`"The Next`"}",t,{57},Kamen Rider Build The First/The Next
Angel,{Buffyverse},f,{35},Buffy the Vampire Slayer
Angelus,{Buffyverse},f,{35},Buffy the Vampire Slayer
Buffy Summers,{Buffyverse},f,{36},Buffy the Vampire Slayer
Genevieve Savidge,{Buffyverse},f,{37},Buffy the Vampire Slayer
Luke,{Buffyverse},f,{38},Buffy the Vampire Slayer
Wicked Lady,"{`"Sailor Moon`"}",f,{4404},Sailor Moon
The Tenth Doctor,"{`"Dr Who`"}",f,{40},Doctor Who
"Grant Gordon, the Ghost","{`"Dr Who`"}",f,{41},Doctor Who
Heather,"{`"Dr Who`"}",f,{42},Doctor Who
Space Oil,"{`"Dr Who`"}",f,{42},Doctor Who
Jenny,"{`"Dr Who`"}",f,{43},Doctor Who
Dark Agency,"{`"Sailor Moon`"}",f,{4405},Sailor Moon
The Tenth Doctor,"{`"Dr. Who`"}",f,{40},Doctor Who
"Grant Gordon, the Ghost","{`"Dr. Who`"}",f,{41},Doctor Who
Heather,"{`"Dr. Who`"}",f,{42},Doctor Who
Space Oil,"{`"Dr. Who`"}",f,{42},Doctor Who
Jenny,"{`"Dr. Who`"}",f,{43},Doctor Who
Narcissus,"{`"Sailor Moon`"}",f,{4405},Sailor Moon
The Tenth Doctor,{Whoniverse},t,{40},Doctor Who
"Grant Gordon, the Ghost",{Whoniverse},f,{41},Doctor Who
Heather,{Whoniverse},f,{42},Doctor Who
Space Oil,{Whoniverse},f,{42},Doctor Who
Jenny,{Whoniverse},f,{43},Doctor Who
Kamen Rider Ichigo,"{`"The First`"}",t,{57},Kamen Rider Build The First/The Next
Kamen Rider Amazon Alpha,{KR},t,{47},Kamen Rider Amazons
Alpha,{KR},f,{47},Kamen Rider Amazons
Kamen Rider Amazon Omega,{KR},t,{48},Kamen Rider Amazons
Omega,{KR},f,{48},Kamen Rider Amazons
Kamen Rider Build,{KR},t,{49},Kamen Rider Build
Chase,{KR},f,{50},Kamen Rider Drive
Banjo,{KR},f,{51},Kamen Rider Build
Kamen Rider Cross-Z,{KR},t,{51},Kamen Rider Build
Kamen Rider Ex-Aid,{KR},t,{52},Kamen Rider Ex-Aid
Gold Drive,{KR},t,{53},Kamen Rider Drive
Kamen Rider Drive,{KR},t,{54},Kamen Rider Drive
Kamen Rider Gaim,{KR},t,{55},Kamen Rider Gaim
Hokuto Trio,{KR},t,{56},Kamen Rider Build
Black Lightning,{DCTV},f,{79},TV Series
Kouga,{Garo},f,{88},Garo
Black Manta,{DCEU},f,{120},DCEU
Black Manta,"{Aquaman,movie}",f,{120},DCEU
Black Manta,"{Aquaman,film}",f,{120},DCEU
Black Manta,{2018},f,{120},DCEU
Undertaker,{WWF},f,{76},WWE
Undertaker,"{`"World Wrestling Federation`"}",f,{76},WWE
Pandora,"{`"Sailor Moon`"}",f,{4405},Sailor Moon
Kamen Rider Ichigo,{KR},t,{57},Kamen Rider Build The First/The Next
Kamen Rider Kabuto,{KR},t,{59},Kamen Rider Kabuto
Kamen Rider Mach,{KR},t,{60},Kamen Rider Mach
Kamen Rider Rogue,{KR},t,{61},Kamen Rider Build
Kamen Rider Chaser,{KR},t,"{50,62}",Kamen Rider Drive
The Roidmudes,{KR},t,{62},Kamen Rider Drive
000,{KR},f,"{50,62}",Kamen Rider Drive
Heart,{KR},f,{62},Kamen Rider Drive
002,{KR},f,{62},Kamen Rider Drive
003,{KR},f,{62},Kamen Rider Drive
009,{KR},f,{62},Kamen Rider Drive
Brain,{KR},f,{62},Kamen Rider Drive
Medic,{KR},f,{62},Kamen Rider Drive
Namba Heavy Industries,{KR},t,{63},Kamen Rider Build
Kamen Rider Mad Rogue,{KR},t,{63},Kamen Rider Build
Guardians,{KR},f,{63},Kamen Rider Build
Fu Washio,{KR},t,{63},Kamen Rider Build
Rai Washio,{KR},t,{63},Kamen Rider Build
Hell Bros,{KR},f,{63},Kamen Rider Build
Riderman,{KR},t,{64},Kamen Rider V3
Stupendous Man,{Calvin|Hobbes},t,{1483},Calvin and Hobbes
Reverse Flash,{TV},f,{25},CW Arrowverse
Zoom,{TV},f,{28},CW Arrowverse
John Constantine,{TV},f,{31},CW Arrowverse
Black Bolt,{TV},f,{65},Inhumans/MCU
Quake,{TV},f,{69},Agents of SHIELD
Daisy Johnson,{TV},f,{69},Agents of SHIELD
Madame Masque,{TV},f,{70},Agent Carter/MCU
Green Arrow,{TV},f,{16},CW Arrowverse
Korath The Pursuer,{199999},f,{249},MCU
Anissa Pierce,{TV},f,{80},Black Lightning TV Series
Eli Morrow,{AoS},f,{66},Agents of SHIELD/MCU
Hive,{AoS},f,{67},Agents of SHIELD/MCU
Alveus,{AoS},t,{67},Agents of SHIELD/MCU
Quake,{AoS},f,{69},Agents of SHIELD
Daisy Johnson,{AoS},f,{69},Agents of SHIELD
Kiri,"{`"Mortal Kombat`"}",f,{71},Mortal Kombat: Conquest
Ankha,"{`"Mortal Kombat`"}",f,{71},Mortal Kombat: Conquest
Eli Morrow,"{`"Agents of S.H.I.E.L.D`"}",f,{66},Agents of SHIELD/MCU
Hive,"{`"Agents of S.H.I.E.L.D`"}",f,{67},Agents of SHIELD/MCU
Alveus,"{`"Agents of S.H.I.E.L.D`"}",t,{67},Agents of SHIELD/MCU
Quake,"{`"Agents of S.H.I.E.L.D`"}",f,{69},Agents of SHIELD
Daisy Johnson,"{`"Agents of S.H.I.E.L.D`"}",f,{69},Agents of SHIELD
Cybermen,"{`"Nightmare in Silver`"}",f,{44},"Nightmare in Silver, Doctor Who"
The Undertaker,{Keyfabe},t,{76},WWE
Angel,{BTVS},f,{35},Buffy the Vampire Slayer
Angelus,{BTVS},f,{35},Buffy the Vampire Slayer
Buffy Summers,{BTVS},f,{36},Buffy the Vampire Slayer
Genevieve Savidge,{BTVS},f,{37},Buffy the Vampire Slayer
Luke,{BTVS},f,{38},Buffy the Vampire Slayer
Mick Foley,"{`"World Wrestling Federation`"}",t,{75},WWF/WWE
The Undertaker,"{`"World Wrestling Federation`"}",t,{76},WWE
The Ray,"{`"Freedom Fighters`"}",f,{32},CW Arrowverse
Batman,{1966},f,{77},Adam West/1966 TV Series
Captain Cold,{Flarrowverse},f,{18},CW Arrowverse
Aqualad,{Rebirth},f,{1484},Rebirth
Deathstroke,{Flarrowverse},f,{15},CW Arrowverse
Green Arrow,{Flarrowverse},f,{16},CW Arrowverse
Girder,{Flarrowverse},f,{20},CW Arrowverse
Gorilla Grodd,{Flarrowverse},f,{23},CW Arrowverse
King Shark,{Flarrowverse},f,{24},CW Arrowverse
Reverse Flash,{Flarrowverse},f,{25},CW Arrowverse
Solovar,{Flarrowverse},f,{26},CW Arrowverse
Weather Wizard,{Flarrowverse},f,{27},CW Arrowverse
Zoom,{Flarrowverse},f,{28},CW Arrowverse
Kuasa,{Flarrowverse},f,{29},CW Arrowverse
Vixen,{Flarrowverse},f,{30},CW Arrowverse
Kiri,{MK},f,{71},Mortal Kombat: Conquest
Ankha,{MK},f,{71},Mortal Kombat: Conquest
Matt,{Hardy},f,{81},Broken Universe
Nero,{Hardy},f,{81},Broken Universe
Alpha,"{`"Kamen Rider`"}",f,{47},Kamen Rider Amazons
Kamen Rider Amazon Alpha,"{`"Kamen Rider`"}",t,{47},Kamen Rider Amazons
Kamen Rider Amazon Omega,"{`"Kamen Rider`"}",t,{48},Kamen Rider Amazons
Omega,"{`"Kamen Rider`"}",f,{48},Kamen Rider Amazons
Kamen Rider Build,"{`"Kamen Rider`"}",t,{49},Kamen Rider Build
Chase,"{`"Kamen Rider`"}",f,{50},Kamen Rider Drive
Banjo,"{`"Kamen Rider`"}",f,{51},Kamen Rider Build
Kamen Rider Cross-Z,"{`"Kamen Rider`"}",t,{51},Kamen Rider Build
Kamen Rider Ex-Aid,"{`"Kamen Rider`"}",t,{52},Kamen Rider Ex-Aid
Gold Drive,"{`"Kamen Rider`"}",t,{53},Kamen Rider Drive
Kamen Rider Drive,"{`"Kamen Rider`"}",t,{54},Kamen Rider Drive
Kamen Rider Gaim,"{`"Kamen Rider`"}",t,{55},Kamen Rider Gaim
Petite Pandora,"{`"Sailor Moon`"}",f,{4405},Sailor Moon
Hokuto Trio,"{`"Kamen Rider`"}",t,{56},Kamen Rider Build
Kamen Rider Ichigo,"{`"Kamen Rider`"}",t,{57},Kamen Rider Build The First/The Next
Kamen Rider Kabuto,"{`"Kamen Rider`"}",t,{59},Kamen Rider Kabuto
Kamen Rider Mach,"{`"Kamen Rider`"}",t,{60},Kamen Rider Mach
Kamen Rider Rogue,"{`"Kamen Rider`"}",t,{61},Kamen Rider Build
Kamen Rider Chaser,"{`"Kamen Rider`"}",t,"{50,62}",Kamen Rider Drive
The Roidmudes,"{`"Kamen Rider`"}",t,{62},Kamen Rider Drive
000,"{`"Kamen Rider`"}",f,"{50,62}",Kamen Rider Drive
Heart,"{`"Kamen Rider`"}",f,{62},Kamen Rider Drive
002,"{`"Kamen Rider`"}",f,{62},Kamen Rider Drive
003,"{`"Kamen Rider`"}",f,{62},Kamen Rider Drive
Brain,"{`"Kamen Rider`"}",f,{62},Kamen Rider Drive
Medic,"{`"Kamen Rider`"}",f,{62},Kamen Rider Drive
Namba Heavy Industries,"{`"Kamen Rider`"}",t,{63},Kamen Rider Build
Kamen Rider Mad Rogue,"{`"Kamen Rider`"}",t,{63},Kamen Rider Build
Guardians,"{`"Kamen Rider`"}",f,{63},Kamen Rider Build
Fu Washio,"{`"Kamen Rider`"}",t,{63},Kamen Rider Build
Rai Washio,"{`"Kamen Rider`"}",t,{63},Kamen Rider Build
Hell Bros,"{`"Kamen Rider`"}",f,{63},Kamen Rider Build
Riderman,"{`"Kamen Rider`"}",t,{64},Kamen Rider V3
Black Bolt,{MCU},f,{65},Inhumans/MCU
Eli Morrow,{MCU},f,{66},Agents of SHIELD/MCU
Hive,{MCU},f,{67},Agents of SHIELD/MCU
Alveus,{MCU},t,{67},Agents of SHIELD/MCU
Agent Peggy Carter,{MCU},f,{68},Marvel Cinematic Universe
Quake,{MCU},f,{69},Agents of SHIELD
Daisy Johnson,{MCU},f,{69},Agents of SHIELD
Madame Masque,{MCU},f,{70},Agent Carter/MCU
The Broken Hardys,{Wrestler},t,{81},Broken Universe
Matt,{Wrestler},f,{81},Broken Universe
Nero,{Wrestler},f,{81},Broken Universe
Korath The Pursuer,{movie},f,{249},MCU
Korath The Pursuer,{movies},f,{249},MCU
Cyborg,"{`"Live action`"}",f,{83},Live-action DC Universe
Cyborg,{Live-action},f,{83},Live-action DC Universe
Cyborg,"{`"Doom Patrol`",TV}",f,{83},Live-action DC Universe
Thunder,"{`"Black Lightning`",TV}",f,{80},Black Lightning TV Series
Anissa Pierce,"{`"Black Lightning`",TV}",f,{80},Black Lightning TV Series
King Shark,"{Flash,TV}",f,{24},CW Arrowverse
Captain Cold,"{Flash,TV}",f,{18},CW Arrowverse
Gorilla Grodd,"{Flash,TV}",f,{23},CW Arrowverse
Solovar,"{Flash,TV}",f,{26},CW Arrowverse
Weather Wizard,"{Flash,TV}",f,{27},CW Arrowverse
Korath The Pursuer,"{`"Guardians of the Galaxy`"}",f,{249},MCU
Jaws,"{`"Jaws 2`"}",f,{20627},""
Korath The Pursuer,{GOTG},f,{249},MCU
Lockjaw,"{`"Marvel Cinematic`"}",f,{253},MCU
Thunder,"{`"Black Lightning`",Television}",f,{80},Black Lightning TV Series
Anissa Pierce,"{`"Black Lightning`",Television}",f,{80},Black Lightning TV Series
Black Bolt,{Television},f,{65},Inhumans/MCU
Quake,{Television},f,{69},Agents of SHIELD
Daisy Johnson,{Television},f,{69},Agents of SHIELD
Madame Masque,{Television},f,{70},Agent Carter/MCU
Black Lightning,{CW},f,{79},TV Series
Black Lightning,{DCCW},f,{79},TV Series
Black Lightning,{TV},f,{79},TV Series
Black Lightning,{Television},f,{79},TV Series
Jeremiah E. Connery,"{`"Econ and Me`"}",t,{85},Econ and Me
Jeremiah,"{`"Econ and Me`"}",f,{85},Econ and Me
Connery,"{`"Econ and Me`"}",f,{85},Econ and Me
Aqualad,"{`"Prime(-| )Earth`"}",f,{1484},Rebirth
Aqualad,{(YJ)},f,{1002},Young Justice
Kouga Saejima,{Garo},t,{88},Garo
The Biggles,{Kidsongs},t,{89},Kidsongs
Robbie Rotten,"{`"Lazy Town`"}",t,{90},LazyTown
Robbie Rotten,{LazyTown},t,{90},LazyTown
Robbie,"{`"Lazy Town`"}",f,{90},LazyTown
Robbie,{LazyTown},f,{90},LazyTown
Rotten,"{`"Lazy Town`"}",f,{90},LazyTown
Rotten,{LazyTown},f,{90},LazyTown
Sportacus,"{`"Lazy Town`"}",t,{91},LazyTown
Sportacus,{LazyTown},t,{91},LazyTown
Merlin,{2008},f,{92},"Merlin, BBC 2008"
Merlin,{BBC},f,{92},"Merlin, BBC 2008"
Merlin,{BBC's},f,{92},"Merlin, BBC 2008"
Merlin,"{`"British Broadcasting Corporation`"}",f,{92},"Merlin, BBC 2008"
Superhoodie,{MisFits},t,{93},MisFits
Simon,{MisFits},f,{93},MisFits
Bellamy,{MisFits},f,{93},MisFits
Casey Bowman,{Ninja},t,{94},Ninja
Michael Scarn,"{`"The Office`"}",t,{95},The Office
Mose Schrute,"{`"The Office`"}",t,{96},The Office
Mose,"{`"The Office`"}",f,{96},The Office
Alara Kitan,{Orville},t,{97},The Orville
Alara,{Orville},f,{97},The Orville
Kitan,{Orville},f,{97},The Orville
Team Machine,"{`"Person of Interest`"}",f,{98},Person of Interest
Team Machine,{POI},f,{98},Person of Interest
Machine,"{`"Person of Interest`"}",f,{98},Person of Interest
Machine,{POI},f,{98},Person of Interest
Harold,"{`"Person of Interest`"}",f,{98},Person of Interest
Harold,{POI},f,{98},Person of Interest
Finch,"{`"Person of Interest`"}",f,{98},Person of Interest
Finch,{POI},f,{98},Person of Interest
Root,"{`"Person of Interest`"}",f,{98},Person of Interest
Root,{POI},f,{98},Person of Interest
Groves,"{`"Person of Interest`"}",f,{98},Person of Interest
Groves,{POI},f,{98},Person of Interest
Samantha,"{`"Person of Interest`"}",f,{98},Person of Interest
Samantha,{POI},f,{98},Person of Interest
John,"{`"Person of Interest`"}",f,{98},Person of Interest
John,{POI},f,{98},Person of Interest
Reese,"{`"Person of Interest`"}",f,{98},Person of Interest
Reese,{POI},f,{98},Person of Interest
Elektra,{MCU},f,{1291},MCU
Sameen,"{`"Person of Interest`"}",f,{98},Person of Interest
Sameen,{POI},f,{98},Person of Interest
Shaw,"{`"Person of Interest`"}",f,{98},Person of Interest
Shaw,{POI},f,{98},Person of Interest
Joss,"{`"Person of Interest`"}",f,{98},Person of Interest
Joss,{POI},f,{98},Person of Interest
Jocelyn,"{`"Person of Interest`"}",f,{98},Person of Interest
Jocelyn,{POI},f,{98},Person of Interest
Carter,"{`"Person of Interest`"}",f,{98},Person of Interest
Carter,{POI},f,{98},Person of Interest
Lionel,"{`"Person of Interest`"}",f,{98},Person of Interest
Lionel,{POI},f,{98},Person of Interest
Fusco,"{`"Person of Interest`"}",f,{98},Person of Interest
Fusco,{POI},f,{98},Person of Interest
Harold Finch,"{`"Person of Interest`"}",t,{98},Person of Interest
Harold Finch,{POI},t,{98},Person of Interest
Samantha Groves,"{`"Person of Interest`"}",t,{98},Person of Interest
Samantha Groves,{POI},t,{98},Person of Interest
John Reese,"{`"Person of Interest`"}",t,{98},Person of Interest
John Reese,{POI},t,{98},Person of Interest
Sameen Shaw,"{`"Person of Interest`"}",t,{98},Person of Interest
Sameen Shaw,{POI},t,{98},Person of Interest
Joss Carter,"{`"Person of Interest`"}",t,{98},Person of Interest
Joss Carter,{POI},t,{98},Person of Interest
Jocelyn Carter,"{`"Person of Interest`"}",t,{98},Person of Interest
Jocelyn Carter,{POI},t,{98},Person of Interest
Lionel Fusco,"{`"Person of Interest`"}",t,{98},Person of Interest
Lionel Fusco,{POI},t,{98},Person of Interest
Joey Ryan,"{`"Pro Wrestling`"}",t,{99},Pro Wrestling
Tommy Oliver,"{`"Power Rangers`"}",t,{100},Power Rangers
Son of a Bitch,"{`"Saturday Night Live`"}",f,{101},Saturday Night Live
Son of a Bitch,{SNL},f,{101},Saturday Night Live
Pumpkins,"{`"Saturday Night Live`"}",f,{102},Saturday Night Live
Pumpkins,{SNL},f,{102},Saturday Night Live
Bill Brasky,"{`"Saturday Night Live`"}",t,{101},Saturday Night Live
Bill Brasky,{SNL},t,{101},Saturday Night Live
David Simon Pumpkins,"{`"Saturday Night Live`"}",t,{102},Saturday Night Live
David Simon Pumpkins,{SNL},t,{102},Saturday Night Live
Superman,{Smallville},f,{103},Smallville
Clark,{Smallville},f,{103},Smallville
Kull Warriors,{Stargate},t,{104},Stargate
Kull Warriors,"{`"Star gate`"}",t,{104},Stargate
Kull Warriors,{SG-1},t,{104},Stargate
Q,"{`"Star Trek`"}",f,{105},Star Trek
Q,{Continuum},f,{105},Star Trek
Q,{TNG},f,{105},Star Trek
Q,"{`"Next Generation`"}",f,{105},Star Trek
Jamison Teague,"{`"Strike Force`"}",t,{106},Key & Peele - Strike Force Eagle
Jamison Teague,"{`"Key & Peele`"}",t,{106},Key & Peele - Strike Force Eagle
Jamison Teague,"{`"Key and Peele`"}",t,{106},Key & Peele - Strike Force Eagle
Jamison Teague,{K&P},t,{106},Key & Peele - Strike Force Eagle
Shane,"{`"Upside-Down Show`"}",f,{109},The Upside-Down Show
Shane,"{`"Upside Down Show`"}",f,{109},The Upside-Down Show
David,"{`"Upside-Down Show`"}",f,{109},The Upside-Down Show
David,"{`"Upside Down Show`"}",f,{109},The Upside-Down Show
Dean,{Supernatural},f,{108},Supernatural
Winchester,{Supernatural},f,{108},Supernatural
Dean Winchester,{Supernatural},t,{108},Supernatural
Takuya Yamashiro,{Supaidaman},t,{107},Japanese Spider-Man
Takuya Yamashiro,"{`"Japanese Spider-Man`"}",t,{107},Japanese Spider-Man
Japanese Spider-Man,{Supaidaman},t,{107},""
Electro,{Garfield},f,{110},The Amazing Spider-Man
Elektra,{199999},f,{1291},MCU
Electro,"{`"Amazing Spider(-| )?Mans?`"}",f,{110},The Amazing Spider-Man
Electro,"{`"Amazing Spider Man`"}",f,{110},The Amazing Spider-Man
Electro,"{`"Amazing Spiderman`"}",f,{110},The Amazing Spider-Man
Electro,{ASM},f,{110},The Amazing Spider-Man
Green Goblin,{Garfield},f,{111},The Amazing Spider-Man
Green Goblin,"{`"Amazing Spider Man`"}",f,{111},The Amazing Spider-Man
Green Goblin,"{`"Amazing Spiderman`"}",f,{111},The Amazing Spider-Man
Green Goblin,{ASM},f,{111},The Amazing Spider-Man
Green Goblin,{Andrew},f,{111},The Amazing Spider-Man
Lizard,{Garfield},f,{112},The Amazing Spider-Man
Lizard,{Andrew},f,{112},The Amazing Spider-Man
Lizard,"{`"Amazing Spider Man`"}",f,{112},The Amazing Spider-Man
Lizard,"{`"Amazing Spiderman`"}",f,{112},The Amazing Spider-Man
Lizard,{ASM},f,{112},The Amazing Spider-Man
